;massa B;;;;;
t;x;y;θ;ω;α;
0,000;-0,430;287,8;90,1;;
0,017;-0,389;287,9;90,1;0,0;
0,033;-0,437;287,9;90,1;0,3;6,2
0,050;-0,443;287,9;90,1;0,1;-4,6
0,067;-0,453;288,1;90,1;0,2;-24,3
0,083;-0,476;288,0;90,1;-0,6;19,6
0,100;-0,356;288,1;90,1;0,3;30,9
0,117;-0,533;287,9;90,1;1,2;-4,1
0,133;-0,558;287,8;90,1;-0,2;-36,2
0,150;-0,495;287,9;90,1;-0,1;8,5
0,167;-0,540;287,9;90,1;0,3;61,4
0,183;-0,552;287,8;90,1;1,6;8,4
0,200;-0,804;287,6;90,2;1,3;-33,0
0,217;-0,771;287,7;90,2;-0,2;-86,7
0,233;-0,765;287,6;90,2;-1,1;5,6
0,250;-0,581;287,7;90,1;-0,6;-7,9
0,267;-0,664;287,8;90,1;-0,6;1,0
0,283;-0,486;287,9;90,1;-1,4;9,2
0,300;-0,437;288,0;90,1;0,1;19,6
0,317;-0,500;287,9;90,1;-0,4;11,4
0,333;-0,361;288,0;90,1;-0,2;20,9
0,350;-0,469;288,0;90,1;0,9;28,5
0,367;-0,511;287,9;90,1;0,4;-25,8
0,383;-0,544;287,8;90,1;0,1;-11,8
0,400;-0,530;287,8;90,1;-0,0;12,2
0,417;-0,538;287,8;90,1;0,5;15,3
0,433;-0,619;287,6;90,1;0,6;-3,3
0,450;-0,644;287,7;90,1;0,3;-18,7
0,467;-0,664;287,6;90,1;0,1;-28,9
0,483;-0,657;287,7;90,1;-0,7;-13,6
0,500;-0,554;287,8;90,1;-0,6;13,3
0,517;-0,555;287,8;90,1;0,0;3,6
0,533;-0,561;287,9;90,1;-0,5;-8,8
0,550;-0,474;287,9;90,1;-0,5;46,3
0,567;-0,479;288,0;90,1;1,1;-5,6
0,583;-0,665;288,0;90,1;-0,1;-22,0
0,600;-0,459;287,8;90,1;-0,7;-7,6
0,617;-0,552;287,8;90,1;0,6;35,4
0,633;-0,552;287,8;90,1;0,1;-17,9
0,650;-0,566;287,7;90,1;0,1;27,9
0,667;-0,564;287,7;90,1;0,9;-12,2
0,683;-0,708;287,5;90,1;0,2;-36,7
0,700;-0,589;287,6;90,1;-1,0;-22,8
0,717;-0,540;287,7;90,1;-0,3;18,8
0,733;-0,539;287,7;90,1;-0,3;10,4
0,750;-0,488;287,8;90,1;-0,1;-8,0
0,767;-0,514;287,9;90,1;-0,3;3,2
0,783;-0,435;287,9;90,1;-0,4;11,2
0,800;-0,453;288,0;90,1;0,3;35,1
0,817;-0,485;287,9;90,1;0,7;-0,6
0,833;-0,569;287,8;90,1;0,4;0,6
0,850;-0,557;287,8;90,1;0,4;27,7
0,867;-0,640;287,8;90,1;1,5;-40,7
0,883;-0,812;287,7;90,2;-0,5;-20,9
0,900;-0,557;287,8;90,1;-0,4;-6,6
0,917;-0,751;287,7;90,1;0,7;2,2
0,933;-0,666;287,7;90,1;-1,1;-36,7
0,950;-0,562;287,7;90,1;-0,5;19,8
0,967;-0,586;287,7;90,1;-0,2;59,5
0,983;-0,533;287,7;90,1;1,0;2,6
1,000;-0,759;287,9;90,2;0,7;-54,8
1,017;-0,657;288,0;90,1;-1,5;-26,1
1,033;-0,499;288,1;90,1;-0,2;81,1
1,050;-0,625;288,0;90,1;1,7;90,7
1,067;-0,778;288,0;90,2;2,5;-19,6
1,083;-1,050;288,0;90,2;1,4;-1,1
1,100;-1,020;288,1;90,2;1,6;-1,7
1,117;-1,319;288,1;90,3;2,4;-14,0
1,133;-1,417;287,9;90,3;0,6;-117,3
1,150;-1,419;287,9;90,3;-1,3;-39,3
1,167;-1,193;287,9;90,2;-1,2;47,6
1,183;-1,214;287,9;90,2;0,8;41,4
1,200;-1,325;288,0;90,3;0,3;-8,3
1,217;-1,256;287,9;90,3;0,0;-0,1
1,233;-1,326;288,0;90,3;0,7;-34,2
1,250;-1,368;288,1;90,3;-1,1;-13,0
1,267;-1,147;288,1;90,2;-0,5;83,0
1,283;-1,284;288,1;90,3;2,4;83,3
1,300;-1,552;288,1;90,3;2,3;-23,0
1,316;-1,671;287,9;90,3;1,3;-81,2
1,333;-1,771;288,1;90,4;-0,1;-35,5
1,350;-1,652;288,0;90,3;-0,4;-0,0
1,366;-1,707;287,8;90,3;0,4;37,7
1,383;-1,718;287,9;90,3;0,6;-19,5
1,400;-1,806;287,7;90,4;0,1;-34,5
1,416;-1,728;287,8;90,3;-0,9;-29,3
1,433;-1,654;287,7;90,3;-0,8;-1,5
1,450;-1,598;287,9;90,3;-0,9;15,8
1,466;-1,503;287,8;90,3;-0,4;19,1
1,483;-1,526;288,0;90,3;0,0;-13,4
